epoch,mean_l2,std_l2
1,2.8867379578046632,0.4502923514785484
2,2.8287617026038903,0.42445489364611044
3,2.887309007517221,0.4690405351112226
4,2.871016706488874,0.4256201541673671
5,2.8947729314470414,0.45379910924608535
6,2.9253810883072338,0.45360296282633933
7,2.863391808763554,0.43047427370032476
8,2.9672270399039937,0.4549455392613675
9,2.9924862488781625,0.42923858661276304
10,2.902634972941027,0.43702187638020024
11,2.958595425079453,0.4528043675872202
12,2.921524281632866,0.42001322519902257
13,2.94808740441529,0.4436117747356172
14,2.9626091579473437,0.45031931703325473
15,2.9420165611895177,0.4295514231716992
16,2.986593289268315,0.4293561740721288
17,2.942566920709291,0.4448704100180419
18,2.9999050004035444,0.43919947810800974
19,3.0025896923789173,0.42848761150606307
20,3.004286000640917,0.43380680153717566
21,3.0091760927377518,0.4296316983488306
22,2.9997004155464544,0.4555853517077136
23,2.9852402268320954,0.4400814185310412
24,2.981700813322176,0.43315925067628225
25,3.0313795978726157,0.4206002078197112
26,3.027366588030316,0.46862794518259393
27,3.0844875287954907,0.42383691116546673
28,3.083374062646575,0.4358397222600245
29,3.0324931344824666,0.42090550721192016
30,3.064236214246396,0.4248101380543937
31,3.0456072169427344,0.46412035505193894
32,3.0528554827821353,0.4531182278253713
33,3.1000229522090157,0.4287407040942826
34,3.0846102818685734,0.45138967336615654
35,3.0922008734447135,0.44873524150739763
36,3.0838239046955893,0.428974227817441
37,3.124994246936842,0.43279358445324445
38,3.1077962874927936,0.4646531993977215
39,3.1342165988707826,0.4260501334932585
40,3.116466863165375,0.42075516320790995
41,3.1370673270160574,0.45503969674812206
42,3.1755999096000793,0.46135533100402737
43,3.1646216331149355,0.4520138207333233
44,3.1723682396260804,0.465652942850894
45,3.1715548385295067,0.4214703425392812
46,3.1123823528344836,0.44156368562417364
47,3.1587138978942804,0.4634710878672627
48,3.202406262484173,0.45863999816362894
49,3.139500101640297,0.42051706517951315
50,3.181711228535441,0.46060481105388246
51,3.1476246881152936,0.4340354720221148
52,3.198084465728266,0.4256506838058301
53,3.180948596169636,0.437827984003082
54,3.1798575130350604,0.4287924414906802
55,3.241032907178776,0.4436229107969283
56,3.237039457169499,0.43741965381693526
57,3.2552153576711826,0.43877920709444124
58,3.23401670756999,0.4203267535106388
59,3.276665064622895,0.4493783139615695
60,3.224767532385754,0.458232831112913
61,3.2540523096835505,0.4675088215150993
62,3.2388482733341992,0.44124759066718017
63,3.2991482707714552,0.4672130119915976
