epoch,train_loss,val_loss,train_auc,val_auc,lr,grad_norm,gpu_mem_mb
1,1.6318165131301028,1.6878184719360112,0.5402154192316723,0.5497369512194986,0.001,2.3300427335787215,1719
2,1.5986638589789552,1.6518681306019605,0.5319130222679316,0.5448537714959595,0.000999872299773906,2.3822874375265934,1718
3,1.5766036903912577,1.6252077855609208,0.547000267210113,0.5618910869041389,0.0009994892643250147,2.289797717269853,1736
4,1.5334597596141923,1.6070263198648622,0.5547256835035204,0.5656039305699293,0.0009988510893081798,2.3413874925871645,1632
5,1.5149392373409902,1.5940746263190364,0.5566000597370516,0.5719607990649079,0.0009979581007037775,2.268536464560557,1641
6,1.4813358478949639,1.5607408387531534,0.5645293580321664,0.576396984177177,0.0009968107546511943,2.3159344953384187,1649
7,1.4692985354645678,1.52398566387695,0.5658491801123282,0.5819526959313557,0.000995409637215831,2.1413928465567285,1635
8,1.4432737795499844,1.498350596956914,0.578715980931664,0.5880373277832854,0.0009937554640897413,2.2643919158162853,1714
9,1.4184677396193057,1.4492969614397395,0.5839143246779592,0.5926437212052074,0.0009918490802260538,2.0797119721015482,1671
10,1.4086446552777194,1.4365844860344228,0.5907523752944462,0.5989501198733052,0.0009896914594073702,2.2152255285148295,1682
11,1.3656925846674544,1.4369219285864399,0.5887208769997333,0.6009157736856918,0.000987283703748356,2.0953859611598196,1687
12,1.3404980758614002,1.4282205766393548,0.5992116738008704,0.610429524448103,0.0009846270431327793,1.980019486770603,1740
13,1.3143535763523047,1.407485137412929,0.6098549951336973,0.6190774492811504,0.0009817228345852852,2.0857314681299783,1670
14,1.3132708455060103,1.4076396751344942,0.6066782021969916,0.6155295560661568,0.0009785725615782262,1.847978130301384,1745
15,1.309112025793041,1.381246579384425,0.6091686283656977,0.6174897534472902,0.0009751778332739033,1.9490914998764766,1737
16,1.2935917945026714,1.3697244256806025,0.6167755323388782,0.6338256915606644,0.0009715403837026045,1.9668084669724215,1649
17,1.2779825895614272,1.3731061478860183,0.6253540454143875,0.6337337984595176,0.0009676620708768607,1.8586478275032028,1706
18,1.2720186275651397,1.3701054771523884,0.6203491344108958,0.6350651012084061,0.0009635448758423702,1.9629576652104155,1712
19,1.2758620897999287,1.367444427687812,0.6219454414925967,0.6332077740303165,0.0009591909016660806,1.853257862711179,1732
20,1.259521205072889,1.3180835011336927,0.6361462047830482,0.6476577991112878,0.0009546023723619386,1.9196168796396285,1709
21,1.2425049963285617,1.323680173944707,0.6376151248853392,0.6523820309476159,0.0009497816317548624,1.9653951782205303,1677
22,1.2151731315143395,1.322704261781453,0.647874960386823,0.6574797653480108,0.000944731142283514,1.8772819259211042,1637
23,1.2126272213383829,1.3164306988094032,0.6499745962697633,0.6535952233984894,0.000939453483742483,1.6624147676246925,1637
24,1.1735236275369019,1.31163161610404,0.645574846440525,0.6624226128087629,0.0009339513519645248,1.823314983239325,1670
25,1.1650032056228417,1.3255300129493193,0.6549571642415014,0.668035295489938,0.0009282275574435281,1.8485875128596285,1697
26,1.129227698226279,1.345550415556011,0.6428184579890611,0.6541189367678171,0.0009222850238989102,1.7063530554872792,1680
27,1.1190093320642076,1.366872459267046,0.6492060813314887,0.6640575286928222,0.0009161267867821802,1.7471356094339952,1658
28,1.1014205544257847,1.3682186206780846,0.6641640835738002,0.6723335266453924,0.0009097559917264266,1.603657887084122,1669
29,1.09745436529089,1.3609406718455346,0.6645903113993846,0.6756023477587337,0.0009031758929395257,1.682384699478236,1749
30,1.0789269375599833,1.3555700315978068,0.6618663378355393,0.6723940120051771,0.0008963898515418885,1.734738807608709,1730
31,1.0331799885795994,1.3411085650981727,0.6636106628461201,0.678620348021689,0.0008894013338495981,1.7010215224470397,1672
32,1.0377536715420748,1.3177019590907142,0.6788286715721995,0.6809856546804026,0.0008822139096038119,1.58789970944815,1747
33,1.0091949138741734,1.3149899463481791,0.6735144319352874,0.6843671621427617,0.000874831250147335,1.4791629911541817,1666
34,0.9930829467369511,1.3060399687818518,0.679775706350575,0.6869496498014626,0.0008672571265492943,1.4960226294944186,1714
35,0.9736175757938352,1.2802874354786935,0.6783515898109331,0.6951098312790357,0.0008594954076788737,1.5615898547374867,1742
36,0.9671846481447188,1.2737655887988646,0.6788452812966058,0.6939692539085106,0.0008515500582290913,1.454733522866078,1659
37,0.9561337407463018,1.259088825394515,0.6863464366583284,0.7027738650406651,0.0008434251366916323,1.434477650635191,1631
38,0.9780765728784799,1.219066646405116,0.6895545362912903,0.7005903852738946,0.0008351247932837654,1.3930034922330337,1675
39,0.9424632301909948,1.235898704068737,0.6839625375075987,0.6999514529041088,0.0008266532678284104,1.524655659231938,1725
40,0.9496368002141502,1.2165812039142143,0.6830405871421293,0.6966323336803838,0.000818014887588431,1.5238909319264455,1656
41,0.9354465646299941,1.2139450285747593,0.6956470988352826,0.7037405214127395,0.0008092140650562665,1.4002176535378017,1711
42,0.9595254655597483,1.1960140148868421,0.700250846893652,0.7045118188926874,0.0008002552957000253,1.4737798149030015,1686
43,0.9462067193227618,1.208756405854194,0.7001856822306606,0.7114987549927638,0.0007911431556671967,1.3958758921737866,1643
44,0.9263344856902734,1.1981493327293895,0.6930720184678476,0.7106502962830069,0.0007818822994471504,1.3657510515556621,1688
45,0.8937988964195858,1.1673241009389066,0.7058167063273607,0.7193191329638593,0.0007724774574936189,1.3477311320098104,1660
46,0.883217036128694,1.155617596057943,0.7045332790378395,0.7138661773489096,0.0007629334338083773,1.2655371744256796,1703
47,0.8847898270585445,1.1546145244434307,0.7039294259598959,0.7157480420176391,0.0007532551034873558,1.2255820229061534,1737
48,0.873958808019764,1.1402889963232177,0.7202212177367063,0.7250641572116079,0.000743447410230435,1.1673538414233997,1708
49,0.8482189643841458,1.1341528956287954,0.7105070174684511,0.7277755582587621,0.0007335153638162004,1.201921937064886,1686
50,0.854881752300415,1.1403342134579173,0.7090249692788221,0.7276231921252321,0.0007234640375429427,1.278717077844436,1678
51,0.8377348762552179,1.122484367296955,0.7138452643657693,0.7250441226985297,0.0007132985656372125,1.335401504923048,1696
52,0.8326964245589251,1.146487158920431,0.7143805561885296,0.7253396235734577,0.0007030241406312527,1.3162885121246763,1692
53,0.8269248537625877,1.1574026814639595,0.7046648235855328,0.7228521369163236,0.0006926460107106481,1.1347857312530782,1715
