epoch,train_loss,val_loss,train_auc,val_auc,lr,grad_norm,gpu_mem_mb,cls,recon,ent
1,1.6100607737616133,1.5717843085922127,0.5290901754539019,0.5426402617509012,0.001,2.2784964825601146,1671,0.9790413221052083,0.43543344769799097,0.12387250372350786
2,1.6088263284448603,1.5673968220925625,0.5436581777819495,0.5528637586445322,0.0009998758966336297,2.1870412992384987,1642,0.9794267901310195,0.4349903270374416,0.1162796334898654
3,1.5782577019992354,1.5688429799173242,0.5595107444111382,0.5610991463764006,0.0009995036481411004,2.3613044306714266,1712,0.9299254278970815,0.4258503315453571,0.13672492885135923
4,1.5569958539417135,1.5304296458305078,0.5421516170903019,0.5684254478637973,0.0009988834393115766,2.2006835786761973,1745,0.9636995494656289,0.4163038283718656,0.11801143943312821
5,1.5147074024573657,1.4758207584917395,0.5623700820307131,0.5754349507992925,0.0009980155780250728,2.2839932179286344,1726,0.9150940614458112,0.4208612519970621,0.12393876023233769
6,1.4978069683428574,1.4623109674877302,0.5682251330666425,0.5849303940634301,0.0009969004950996173,2.113236723900459,1647,0.9098951708842836,0.4075173878876378,0.13491076680976227
7,1.4722894398019766,1.4815114185796738,0.5839199397431334,0.5947686943664812,0.00099553874407739,2.201721999941816,1733,0.9108141427964037,0.3881005323397765,0.15518164633989726
8,1.4623289165510174,1.4660368542090525,0.5783909606031331,0.5928760839865546,0.0009939310009499348,2.114119635090095,1668,0.8905144966039578,0.38187630443242654,0.13700152690123887
9,1.4551877016689811,1.4541106241052084,0.5896492747346216,0.6054658501130367,0.0009920780638225891,2.1866865700627165,1680,0.8951285460476711,0.4053106975109032,0.13336007177748926
10,1.4193359987459173,1.4236624912028657,0.5828036944454136,0.5994346424482866,0.0009899808525182935,2.082506996199621,1678,0.8637309035539652,0.3725050685016384,0.14525497907353704
11,1.3924858172211718,1.4086493607653692,0.59955571299277,0.6154028014386486,0.0009876404081209796,2.0326404451344176,1737,0.8509641154780742,0.3769400165143213,0.15117968380638633
12,1.3719763918685242,1.4437321754289594,0.6059477463146326,0.6125928455423594,0.0009850578924587613,2.001689465656254,1736,0.8446286740924724,0.36136525703857714,0.1490328637633565
13,1.340961476034153,1.4223309290672899,0.6091024572908844,0.6228931466627203,0.0009822345875271884,2.1111186719708805,1657,0.8110987602754695,0.3583621839803597,0.14136446483907175
14,1.3080389546091746,1.4371924969453,0.6102826629106205,0.6237637746271318,0.0009791718948528457,2.045143427660588,1696,0.7953666571779244,0.3575616535835239,0.14659436164027762
