unit,mean_weight,top_loading_attr
0,0.3157725681577087,11
1,0.3919824091948516,19
2,0.43303633761882426,41
3,0.5306430161925348,18
4,0.5125033615981354,24
5,0.3831815030997509,20
6,0.5566078735386465,38
7,0.2705846060342969,1
8,0.4816059326317068,15
9,0.5212125975711676,16
10,0.697100449156358,2
11,0.91,47
12,0.23415162688316912,16
13,0.6693517546176707,16
14,0.2519226645010231,6
15,0.3112561208807243,42
16,0.4230044254270038,16
17,0.5360908231036691,14
18,0.5799769673519606,25
19,0.5412298757599912,31
20,0.5620821519567877,29
21,0.5552207279025287,19
22,0.30119276350425267,23
23,0.24755074589330486,29
24,0.6821094560841154,12
25,0.6256082439769071,18
26,0.595287880447378,32
27,0.88,58
28,0.25094077397512127,41
29,0.5408223636059952,24
30,0.33807872845670883,5
31,0.5423315427358283,11
32,0.47029719605680853,19
33,0.23101719873793639,21
34,0.49606074439480197,11
35,0.445432039826138,3
36,0.5452303303830265,4
37,0.452694898865051,30
38,0.6793285765111987,41
39,0.6293202947135645,33
40,0.22731491380640415,21
41,0.6176356169482325,4
42,0.48440839117423384,19
43,0.86,54
44,0.350740155397086,41
45,0.5610598771058292,38
46,0.6159617060997092,38
47,0.29427442670549886,1
48,0.598446536166355,0
49,0.42446110916141033,10
50,0.3970041885531123,5
51,0.30509303650338404,9
52,0.2235636215130255,38
53,0.3353461238357038,42
54,0.4595741099248433,28
55,0.24226972506254718,21
56,0.2942070051507285,36
57,0.45386941726403585,33
58,0.84,59
59,0.6659191395125361,17
60,0.629621735597493,35
61,0.3379690949734555,30
62,0.3019393064768626,31
63,0.5648842551620527,7
64,0.26283145671975094,27
65,0.5567915492424745,5
66,0.3477546743347051,3
67,0.5122014340326589,19
68,0.3562997785616708,27
69,0.5850651242508964,12
70,0.5167844960393373,13
71,0.5025357304984582,23
72,0.5146707097433688,12
73,0.43473939370156783,28
74,0.5473080775116169,3
75,0.2599421489688848,20
76,0.83,51
77,0.3021607113916765,23
78,0.2613528829539022,8
79,0.6676868596216414,21
80,0.6533469537267632,29
81,0.3603350537575125,18
82,0.5297484561600075,13
83,0.2971767271197736,18
84,0.40118042818429867,9
85,0.6635414867744391,27
86,0.577236802705319,3
87,0.681937444343367,30
88,0.6715478962830655,13
89,0.6387446827432877,3
90,0.5414936822470007,36
91,0.82,49
92,0.4357276663803944,26
93,0.31207389566013544,39
94,0.32207888122716954,16
95,0.6091819893301063,26
96,0.44581374142664343,12
97,0.6794364549082696,8
98,0.42337811304161466,42
99,0.2697346607254649,34
100,0.6355449080228929,9
101,0.6832678939249882,8
102,0.24801822477722815,20
103,0.6979146389075525,41
104,0.81,43
105,0.5733699588873015,38
106,0.6519150947377806,31
107,0.4176202582637627,10
108,0.2892491510762665,31
109,0.3027637968366534,35
110,0.32201076413766605,36
111,0.6144351874590257,42
112,0.4288374035140683,6
113,0.6474389812906394,0
114,0.4512865419318789,18
115,0.2776620563367565,33
116,0.5296141163326739,16
117,0.2314816098576754,35
118,0.22758221468057305,6
119,0.805,48
120,0.6883079033832332,13
121,0.22836158597316372,25
122,0.4985034414106848,9
123,0.588872847915582,20
124,0.5604793911220388,15
125,0.4739367802569131,40
126,0.36592259623866574,35
127,0.5315322036303648,13
